DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2015,1.96,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2016,1.92,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2017,1.89,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2018,1.87,p
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2019,1.86,p
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FR,2020,1.83,p
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FX,2009,1.99,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FX,2010,2.02,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FX,2011,2.00,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,FX,2012,1.99,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2009,1.85,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2010,1.81,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2014,1.97,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2015,2.21,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2016,2.23,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2017,2.14,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2018,2.09,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,GE,2019,2.02,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2009,1.58,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2010,1.55,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2011,1.48,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2012,1.51,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2013,1.46,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2014,1.46,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2015,1.40,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2016,1.42,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2017,1.42,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2018,1.47,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2019,1.47,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HR,2020,1.48,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HU,2009,1.32,
ESTAT:TPS00199(1.0),28/04/22 11:00:00,A,TOTFERRT,HU,2010,1.25,
